node,degree,class,class_degree,score
2074,9.498982908301614e-05,0,4.779584246863234e-05,-4.7193986614383806e-05
2125,4.9147974774870856e-05,1,5.6353501089313015e-05,7.205526314442159e-06
2141,0.00019192600259755862,1,0.00012052469407152527,-7.140130852603335e-05
2172,0.00010180588909548772,1,0.0001246472333186235,2.2841344223135788e-05
2177,9.228264079006436e-05,1,0.00014769963659974042,5.5416995809676065e-05
2349,8.642598407235327e-05,0,3.8026252679923776e-05,-4.839973139242949e-05
2358,0.00015124721953810815,1,0.0001714167279120922,2.0169508373984053e-05
2359,0.00012138401956831365,0,7.95806880563635e-05,-4.180333151195014e-05
2375,8.982123407605798e-05,1,9.544725567678768e-05,5.626021600729699e-06
2417,0.00010573831618589409,0,5.71139778085986e-05,-4.8624338377295483e-05
2453,8.326202999938892e-05,0,4.212536085705799e-05,-4.1136669142330935e-05
2505,0.00012396421164247214,1,0.00012975552931305062,5.791317670578481e-06
2633,6.719968266697077e-05,1,9.933161123322136e-05,3.213192856625059e-05
2761,0.0005813164809746885,0,0.0006737002932999244,9.238381232523597e-05
2782,0.0006061229192537867,1,0.00017499963112264718,-0.00043112328813113944
2783,0.00013866789656390196,0,9.045820606660428e-05,-4.820969049729767e-05
2843,4.9096253965642237e-05,0,3.035389811013099e-05,-1.8742355855511248e-05
2853,0.00023976147912088176,0,0.00017458258633871505,-6.517889278216671e-05
2877,0.00015448492556532946,0,0.00010795220924997427,-4.65327163153552e-05
2890,5.608855153494771e-05,0,2.6890577247973073e-05,-2.919797428697464e-05
2891,5.87703189076506e-05,1,5.0525470255206806e-05,-8.244848652443795e-06
2947,9.371848955644314e-05,0,4.4019275611157906e-05,-4.9699213945285234e-05
2952,0.00015471395010222856,0,0.00010255475683615877,-5.215919326606979e-05
3036,0.0001125306962791687,0,7.690815768349173e-05,-3.5622538595676974e-05
3038,0.0001181547318871496,1,0.00017497226424890018,5.6817532361750584e-05
3072,8.219308925548154e-05,1,0.00011334875610784929,3.1155666852367755e-05
3089,0.0003134457236942477,1,0.00015252331459627744,-0.00016092240909797024
3181,0.00012011712991536708,0,5.7922250461510986e-05,-6.21948794538561e-05
3225,5.672403003771795e-05,0,3.557242552968933e-05,-2.1151604508028624e-05
3241,0.00011523771084959381,0,5.494977614092037e-05,-6.028793470867344e-05
3245,0.00016160021385327542,0,9.188366217507425e-05,-6.971655167820116e-05
3260,9.928412122953514e-05,0,5.3592344468127035e-05,-4.5691776761408104e-05
3368,0.0002133890436601389,1,0.00021139308627521214,-1.9959573849267587e-06
3411,0.00028411706886260867,0,0.00017771777304123086,-0.0001063992958213778
3413,5.858379952444792e-05,1,9.912082722236893e-05,4.053702769792101e-05
3428,0.00024387761515515117,0,0.00016815425660739145,-7.572335854775971e-05
3451,6.688343968503662e-05,1,0.00011035557270665682,4.34721330216202e-05
