node,class,score
3411,0,-0.0001063992958213778
3413,1,4.053702769792101e-05
3428,0,-7.572335854775971e-05
3451,1,4.34721330216202e-05
3530,1,7.537397302667171e-07
3669,0,-5.145518662978137e-05
3775,0,-5.867097124164727e-05
3950,1,-3.6683640167588984e-05
4005,0,-9.550021411849999e-05
4019,1,-3.142456051722785e-07
4052,1,0.00011978095065479059
4100,1,2.5096463675649828e-05
4104,1,9.552593187154041e-05
4133,1,-0.00028370959548367663
4154,0,-0.00024765406273508377
4246,0,-4.238625145416332e-05
4304,1,3.875965416563182e-05
4328,1,3.1255310225133097e-05
4348,1,0.00013180336392468523
4349,1,7.558984896059031e-05
4350,1,1.529448982414038e-05
4351,1,1.8021258579858794e-05
4353,1,3.635552162103887e-05
4354,1,0.00013211077068768124
4355,0,-3.6777440925067105e-05
4356,1,-3.2761883339938407e-06
4358,1,0.00014675081334563625
4359,1,1.578963825869774e-05
4361,1,2.9388070302781416e-05
4363,1,0.00013818176228244154
4366,0,-5.571245290318496e-05
4368,1,9.752442670033255e-05
4373,1,2.4431730088379656e-05
4374,1,2.0709038887545322e-05
4375,1,-9.748893494751867e-05
4376,1,2.166723274449642e-05
4377,1,1.8934963716852443e-05
4378,1,1.0020514112654137e-05
4382,1,1.7098190433417897e-05
4387,0,-1.080432067595506e-05
4388,1,3.8227000184004015e-06
4392,1,0.0002150265783119361
4393,1,-9.312772989880778e-05
4396,1,2.2126931669857878e-05
4397,1,-4.181026642421145e-05
4413,0,-4.568637550309847e-05
4425,0,-5.7436589634567094e-05
4442,0,-4.732823208609361e-05
4466,1,-0.00039417639863786706
4622,0,-5.6922425591573385e-05
4739,1,0.0001041412488151363
4745,1,8.494990857997935e-05
4823,1,5.863360916706886e-05
4857,0,-3.9266769226189364e-05
4867,0,-1.1935216082136423e-05
5056,0,-6.48332454925622e-05
5073,1,3.191976597309442e-05
5105,0,-6.65498183757697e-05
5182,0,-4.4151893374405755e-05
5212,0,-5.594133548763436e-05
5233,0,-0.00010963909883888217
5234,1,7.261645423618054e-05
5293,0,3.853859941010062e-06
5296,0,-2.8843703506761995e-05
5305,0,-7.131416196236748e-05
5356,0,-0.0003900451432166939
5439,0,-6.468784855130022e-05
5454,1,9.50198113508019e-05
5489,0,-6.483129019296393e-05
5635,1,0.00012523936337610598
5654,0,-9.699871703163702e-06
5694,1,2.818241027157753e-05
5732,1,0.0006267659499844631
5769,1,0.0003214275950915145
5772,1,0.00029057882822637637
5780,1,0.00029979756632226315
5885,0,-1.8623612970529445e-05
5887,0,-2.5327975588980244e-05
5932,0,-0.000248625452627458
5933,0,-1.9279914569522433e-05
5988,1,9.558349961633639e-06
6004,0,-3.923467472199779e-05
6012,1,-5.28908641452355e-06
6047,1,2.0162669211404947e-05
