node,class,score
10092,1,-39.99929152713801
10626,1,-40.9959823378984
4089,1,-40.996323431017295
893,1,-40.997246607176216
5222,1,-40.997390078908914
4982,1,-40.99750610098771
4054,1,-40.99784293081635
9823,1,-40.997866946039146
9504,1,-40.99821266093211
7962,1,-40.998812412931436
2506,1,-40.99883376405982
2528,1,-40.99894829271754
9448,1,-40.99913723711667
10091,1,-40.99920399982479
1075,1,-41.99517390736533
3554,1,-41.996121702180496
10667,1,-41.99775765114717
4356,1,-41.998148149765846
9525,1,-41.998321932406064
8651,1,-41.99853648460188
9403,1,-41.998874167706155
9405,1,-41.998874167706155
9438,1,-41.998874167706155
871,1,-41.99889721683565
10575,1,-42.98977317329575
10101,1,-42.993038718572144
2895,1,-42.99343622026957
10406,1,-42.99425018889726
6731,1,-42.9966712653684
6745,1,-42.9966712653684
5686,1,-42.99731957629572
9593,1,-42.998041478796274
6056,1,-42.99812454449833
9808,1,-42.99857944977608
4395,1,-43.992529047581385
2399,1,-43.99552449507634
478,1,-43.997123289252315
2121,1,-43.99739641544405
4080,1,-43.99742140367341
4107,1,-43.99771636965528
8795,1,-43.99804693314997
136,1,-43.99821195643164
9492,1,-43.99872933687946
866,1,-43.99888985943059
6164,1,-43.999138294587816
10823,1,-44.98957810889657
8434,1,-44.997022769012375
9834,1,-44.99738291039142
9248,1,-44.997500696098946
9600,1,-44.99750445411919
6959,1,-44.99790599286665
2878,1,-44.998206961083916
4139,1,-44.99828030357208
8595,1,-44.99895622210391
6631,1,-45.983932461298174
8578,1,-45.99332612434761
6216,1,-45.99461147217718
3602,1,-45.99637017232571
3879,1,-45.997106847258145
10657,1,-45.9973675696964
2902,1,-45.99741499501214
9456,1,-45.99863071572305
9446,1,-45.998803571692065
3948,1,-46.99507194870489
5200,1,-46.99535518175709
5848,1,-46.995757000124726
8415,1,-46.996426180517005
4810,1,-46.9966783429267
4526,1,-46.996681513591156
2982,1,-46.99724652051925
709,1,-46.9982652571774
2315,1,-46.998383145745606
3468,1,-47.994056635999925
8278,1,-47.99466061981066
10127,1,-47.99528406271414
8058,1,-47.99620147743961
2501,1,-47.99734881300826
2538,1,-47.99764973588591
6342,1,-47.99790467673434
9453,1,-47.99822892430435
8106,1,-47.99827206099794
9474,1,-47.998781649781066
2352,1,-47.99879686822425
1061,1,-48.98358257154472
10318,1,-48.99087369306988
8125,1,-48.99399586615226
2909,1,-48.9943386786237
8762,1,-48.99465410147126
7643,1,-48.99509918031755
7940,1,-48.99569484865797
7598,1,-48.99579421184055
7613,1,-48.99579421184055
5107,1,-48.9960218076269
4735,1,-48.99657465824535
80,1,-48.996885699004295
3058,1,-48.996932363555345
9609,1,-48.99720188274665
1567,1,-48.99734914169599
4988,1,-48.997415229385226
6966,1,-48.997741382570034
5613,1,-48.9977437270649
883,1,-48.9980648472078
6361,1,-48.99808614337876
9451,1,-48.99831288077533
6537,1,-48.999393466099484
6548,1,-48.999393466099484
6120,1,-49.990641673767634
8816,1,-49.99371214797786
6930,1,-49.99420890671492
899,1,-49.996031720027545
3745,1,-49.99634005819479
8103,1,-49.996568541203615
3066,1,-49.99681000802925
9467,1,-49.997724426022245
4966,1,-49.99851517249319
9652,1,-49.99888562488524
10289,1,-50.994851624429494
6020,1,-50.995685039752246
674,1,-50.9971557001717
9452,1,-50.997374507772065
2040,1,-50.99748197992372
10334,1,-50.9978256483095
3280,1,-50.9982674046954
6552,1,-51.991941796458164
4441,1,-51.99355199567866
8761,1,-51.99364221687139
5487,1,-51.994912485756856
10722,1,-51.995290110713746
5835,1,-51.99541751820658
6943,1,-51.996727621847405
9703,1,-51.996813525304226
6920,1,-51.996840896284056
2605,1,-51.997843137520015
559,1,-51.999283173651484
560,1,-51.999283173651484
580,1,-51.999283173651484
584,1,-51.999283173651484
10355,1,-52.99553208683156
5661,1,-52.99610504177772
10686,1,-52.99684661374557
3494,1,-52.998373768193815
8284,1,-53.99334118238174
3240,1,-53.99395878201104
3582,1,-53.99521577032385
79,1,-53.996653811336614
6445,1,-53.99672743541748
9783,1,-53.99678227028224
6949,1,-53.99713877843665
50,1,-53.99718092651146
8095,1,-53.99724460370585
4998,1,-53.9985512569349
6776,1,-53.99868629197567
8018,1,-53.99884592327225
8049,1,-53.998849156973684
8024,1,-53.998849156973684
3023,1,-54.99321310568244
2828,1,-54.99401744883576
8704,1,-54.99479766153165
9681,1,-54.9957156860051
6061,1,-54.9958529357093
7362,1,-54.99589396773996
9481,1,-54.99622868030934
4706,1,-54.99656267002336
5855,1,-54.99781331778034
857,1,-54.99816030727761
8686,1,-54.99831902171638
8019,1,-54.998830905308196
6571,1,-54.99918830455821
6582,1,-54.99918830455821
1409,1,-55.97978762982804
6112,1,-55.98732863564804
397,1,-55.99417840475181
1899,1,-55.99430221633364
1914,1,-55.99431790287647
2118,1,-55.99468759337374
6978,1,-55.9947819533371
3286,1,-55.99502917760623
6455,1,-55.99624545112555
10040,1,-55.99643506690773
9775,1,-55.99673980162363
128,1,-55.99790722006491
2332,1,-55.99798201341508
2337,1,-55.99798201341508
2575,1,-55.9979835009547
5819,1,-55.99802836193925
9820,1,-56.99484390826203
9794,1,-56.99671231873267
9797,1,-56.99671231873267
10210,1,-56.997186530683955
4062,1,-56.997604598422136
4084,1,-56.997604598422136
