source,target,weight
1142335718578106368,1221354654560407552,1
1142335718578106368,1221385380739649536,1
1142335718578106368,1221707382918668294,1
1142335718578106368,1224423427995586565,1
1142335718578106368,1225020764501364736,1
1142335718578106368,1225064692034523137,1
1142335718578106368,1225157579497754624,1
1142335718578106368,1225836211123752963,2
1142335718578106368,1226101963579887617,1
1142335718578106368,1226539841036455941,1
1142335718578106368,1226570163111239680,1
1142335718578106368,1226959024924413953,1
1142335718578106368,1227132860647329793,1
1142335718578106368,1227135731665186817,1
1142335718578106368,1227338316363816960,1
1142335718578106368,1227674868050690054,1
1142335718578106368,1227703871432249344,1
1142335718578106368,1227760319717629953,1
1142335718578106368,1227848621925847040,1
1142335718578106368,1227896429139484672,1
1142335718578106368,1228621167658815489,1
1142335718578106368,1228669171636015105,1
1142335718578106368,1228809084633309184,1
1142335718578106368,1229072104823279616,1
1142335718578106368,1229105182270730240,1
1142335718578106368,1229663695049023489,1
1142335718578106368,1229682222455808002,1
1142335718578106368,1229775734757085185,1
1142335718578106368,1229791772894736384,3
1142335718578106368,1229812513396662276,3
1142335718578106368,1229837651190190083,1
1142335718578106368,1229858686811635712,1
1142335718578106368,1230155500001558530,2
1142335718578106368,1230211766501695488,1
1142335718578106368,1230220269366784000,1
1142335718578106368,1230251448501440512,1
1142335718578106368,1230380554534686720,1
1142335718578106368,1230531083327983621,1
1142335718578106368,1230569416854650882,1
1142335718578106368,1230581988949733384,1
1142335718578106368,1230589451048554502,1
1142335718578106368,1230624258037972992,1
1142335718578106368,1230941529688170497,1
1142335718578106368,1230965423048359937,1
1142335718578106368,1231444174815322113,1
1142335718578106368,1231488582159724544,1
1142335718578106368,1231854433576849415,1
1142335718578106368,1231954505752817664,1
1142335718578106368,1232060859108687873,1
1142335718578106368,1232283004539531266,1
1142335718578106368,1232610888156360706,1
1142335718578106368,1233034419356815362,1
1142335718578106368,1233299364304637954,1
1142335718578106368,1233407677142794242,1
1142335718578106368,1233845199165628423,1
1142335718578106368,1234059604990078976,1
1142335718578106368,1234172768607883264,1
1142335718578106368,1234181454344728576,1
1142335718578106368,1234203709548134400,1
1142335718578106368,1234507463229165575,1
1142335718578106368,1234604834105544704,1
1142335718578106368,1234758142308864000,1
1142335718578106368,1234783804054802437,1
1142335718578106368,1234826678637125632,1
